"[0.8597625494003296, 0.5077801942825317, 4.482419626583578e-07]","[0.8194355368614197, 0.4986144006252289, -0.039673853665590286]","[0.7834808826446533, 0.4485749900341034, -0.059651657938957214]","[0.7680445909500122, 0.39766037464141846, -0.07445085793733597]","[0.7555720210075378, 0.35001662373542786, -0.08824846893548965]","[0.8148844838142395, 0.3541576564311981, -0.04086317867040634]","[0.8067343235015869, 0.27753522992134094, -0.06515694409608841]","[0.8117109537124634, 0.2239297330379486, -0.0832003802061081]","[0.8194266557693481, 0.18471094965934753, -0.09525797516107559]","[0.849845826625824, 0.3505183458328247, -0.0359584204852581]","[0.8700108528137207, 0.2846021354198456, -0.07024659961462021]","[0.8895832896232605, 0.28819090127944946, -0.08827920258045197]","[0.9014219641685486, 0.3095760643482208, -0.0935191810131073]","[0.882300078868866, 0.36325758695602417, -0.03451981022953987]","[0.9069021940231323, 0.3112758994102478, -0.06838309019804001]","[0.92024827003479, 0.3229817748069763, -0.07775527238845825]","[0.9255246520042419, 0.34141477942466736, -0.0764407068490982]","[0.9119130373001099, 0.3851670026779175, -0.035563837736845016]","[0.9283950328826904, 0.34802770614624023, -0.06324367225170135]","[0.9365362524986267, 0.35528987646102905, -0.06822539865970612]","[0.9395793080329895, 0.3691733181476593, -0.06573996692895889]",0
"[0.8619064688682556, 0.522286057472229, 3.297635657872888e-07]","[0.8208305835723877, 0.5045405030250549, -0.032273534685373306]","[0.7839298248291016, 0.44734132289886475, -0.04806634411215782]","[0.7688225507736206, 0.3933393061161041, -0.060269709676504135]","[0.7550150156021118, 0.34600314497947693, -0.07154779136180878]","[0.8143115639686584, 0.34993889927864075, -0.03155473992228508]","[0.8103106617927551, 0.26786133646965027, -0.05326608940958977]","[0.8145452737808228, 0.2128111571073532, -0.06941553950309753]","[0.8203307390213013, 0.1711944341659546, -0.08058882504701614]","[0.8513970971107483, 0.3487851619720459, -0.029606234282255173]","[0.869530439376831, 0.2761625051498413, -0.06131267920136452]","[0.8897104859352112, 0.28055906295776367, -0.0787024199962616]","[0.9018831253051758, 0.30289310216903687, -0.08405282348394394]","[0.8853540420532227, 0.362918883562088, -0.030572714284062386]","[0.9096817970275879, 0.3064256012439728, -0.06089271977543831]","[0.9244876503944397, 0.3135477304458618, -0.07000814378261566]","[0.9294520616531372, 0.33152663707733154, -0.06959473341703415]","[0.9152424931526184, 0.38732150197029114, -0.03368464857339859]","[0.9338111281394958, 0.3490573763847351, -0.05812160670757294]","[0.9427533149719238, 0.3534906208515167, -0.06326413154602051]","[0.9451310038566589, 0.36552512645721436, -0.061892054975032806]",0
"[0.8595910668373108, 0.5306540727615356, 2.4981002866297786e-07]","[0.8187335729598999, 0.504949152469635, -0.027546999976038933]","[0.7815898656845093, 0.4441898763179779, -0.041577327996492386]","[0.7658804655075073, 0.3885783553123474, -0.05350005626678467]","[0.7507877945899963, 0.3427165448665619, -0.06457503885030746]","[0.8158358335494995, 0.3465311825275421, -0.025882301852107048]","[0.8122901320457458, 0.2632203698158264, -0.0459095798432827]","[0.8155357837677002, 0.20968978106975555, -0.06088835746049881]","[0.8205442428588867, 0.16750983893871307, -0.07165049761533737]","[0.8512848615646362, 0.3469111919403076, -0.025967897847294807]","[0.8684821128845215, 0.269575834274292, -0.05632319673895836]","[0.8893799781799316, 0.2751147449016571, -0.07355213165283203]","[0.9016401171684265, 0.29946404695510864, -0.07951857149600983]","[0.8834747076034546, 0.3619388937950134, -0.028671592473983765]","[0.9052615165710449, 0.29885581135749817, -0.05820470675826073]","[0.9227097630500793, 0.30682238936424255, -0.06821341067552567]","[0.9289003014564514, 0.33147525787353516, -0.06878485530614853]","[0.9133325219154358, 0.3887924551963806, -0.03329230472445488]","[0.9323940873146057, 0.3444601595401764, -0.05795895680785179]","[0.9419201612472534, 0.34813904762268066, -0.06515583395957947]","[0.9428534507751465, 0.366070955991745, -0.06567535549402237]",0
"[0.8600267171859741, 0.533259928226471, 2.3719486819118174e-07]","[0.8185502886772156, 0.5037518739700317, -0.026765575632452965]","[0.7802744507789612, 0.4425346851348877, -0.03974852338433266]","[0.7630828022956848, 0.38805466890335083, -0.050958503037691116]","[0.7478004097938538, 0.3427589535713196, -0.06106695160269737]","[0.8141619563102722, 0.3430706858634949, -0.02166733145713806]","[0.8104410767555237, 0.2596772015094757, -0.03994951769709587]","[0.8132510185241699, 0.2070772796869278, -0.05394938215613365]","[0.8173584938049316, 0.16600775718688965, -0.06411623954772949]","[0.8498305678367615, 0.3443150818347931, -0.021887117996811867]","[0.8671606183052063, 0.2671425938606262, -0.05156666785478592]","[0.8894446492195129, 0.27251625061035156, -0.06927767395973206]","[0.9025475978851318, 0.2977384030818939, -0.07533155381679535]","[0.8819273710250854, 0.35937246680259705, -0.024859344586730003]","[0.9049065709114075, 0.29769086837768555, -0.054357413202524185]","[0.9232771396636963, 0.3052772283554077, -0.06610242277383804]","[0.9298074841499329, 0.33100953698158264, -0.0675126314163208]","[0.9115104079246521, 0.3857262134552002, -0.029670072719454765]","[0.9305376410484314, 0.34366995096206665, -0.0544377863407135]","[0.9404268264770508, 0.34823599457740784, -0.0628146156668663]","[0.941942572593689, 0.367209255695343, -0.06399479508399963]",0
"[0.860532283782959, 0.5369569063186646, 2.1478690825915692e-07]","[0.8187050819396973, 0.5057498216629028, -0.027496367692947388]","[0.7807497978210449, 0.44447121024131775, -0.04147825762629509]","[0.7630403637886047, 0.3892268240451813, -0.053673259913921356]","[0.747306227684021, 0.3427295982837677, -0.06468328088521957]","[0.8133297562599182, 0.34441545605659485, -0.022925488650798798]","[0.8088093996047974, 0.26072949171066284, -0.04199019446969032]","[0.811555027961731, 0.20821420848369598, -0.05612371861934662]","[0.8156968951225281, 0.16667982935905457, -0.06615786254405975]","[0.8483828902244568, 0.3448719382286072, -0.02299647405743599]","[0.865716814994812, 0.2658594250679016, -0.05268823355436325]","[0.8873348236083984, 0.27425462007522583, -0.06942819058895111]","[0.8998618721961975, 0.3005484342575073, -0.07479625940322876]","[0.8801809549331665, 0.35936084389686584, -0.02586539089679718]","[0.9031145572662354, 0.2949613928794861, -0.0550210066139698]","[0.9206374883651733, 0.3058573603630066, -0.06443202495574951]","[0.926603376865387, 0.3325842320919037, -0.06432931870222092]","[0.9097615480422974, 0.38591229915618896, -0.030712278559803963]","[0.9295428991317749, 0.3401239514350891, -0.05416661873459816]","[0.9383654594421387, 0.3476071357727051, -0.06019090488553047]","[0.9387145638465881, 0.3684898912906647, -0.05983724817633629]",0
"[0.8591873645782471, 0.5370452404022217, 2.215836474306343e-07]","[0.8176220059394836, 0.5052936673164368, -0.02511168271303177]","[0.7791240215301514, 0.442911833524704, -0.03765048459172249]","[0.7610394954681396, 0.38832324743270874, -0.04880379140377045]","[0.7454788684844971, 0.3438110053539276, -0.05898790434002876]","[0.8108810782432556, 0.34324032068252563, -0.020284363999962807]","[0.8069299459457397, 0.26025187969207764, -0.03873810917139053]","[0.8096229434013367, 0.20761117339134216, -0.052967607975006104]","[0.8131096363067627, 0.16643209755420685, -0.06324712932109833]","[0.8464528918266296, 0.34370025992393494, -0.02130783349275589]","[0.8641674518585205, 0.26440075039863586, -0.05012510344386101]","[0.8854732513427734, 0.26983383297920227, -0.06705108284950256]","[0.8976348042488098, 0.294939786195755, -0.07286856323480606]","[0.8787633180618286, 0.35833677649497986, -0.024964716285467148]","[0.9019807577133179, 0.29389122128486633, -0.05278480425477028]","[0.9185983538627625, 0.3020436763763428, -0.06233441084623337]","[0.9237595796585083, 0.32775649428367615, -0.06293459236621857]","[0.9085967540740967, 0.38629668951034546, -0.03048103116452694]","[0.9295002222061157, 0.34466004371643066, -0.053166985511779785]","[0.9384151697158813, 0.35020193457603455, -0.05945468693971634]","[0.9387396574020386, 0.3690030574798584, -0.05967425927519798]",0
"[0.8581088781356812, 0.5380943417549133, 2.1410258455034636e-07]","[0.8158778548240662, 0.5063579082489014, -0.02632264234125614]","[0.7779412269592285, 0.443925142288208, -0.03924349695444107]","[0.7604275941848755, 0.38856637477874756, -0.05061020329594612]","[0.744944155216217, 0.34270593523979187, -0.060907986015081406]","[0.8101476430892944, 0.34374240040779114, -0.02118854410946369]","[0.8058506846427917, 0.2602103054523468, -0.039909351617097855]","[0.8082607388496399, 0.20774322748184204, -0.054189249873161316]","[0.811590850353241, 0.1661766916513443, -0.06443114578723907]","[0.8461084961891174, 0.3444044589996338, -0.021833112463355064]","[0.8646296858787537, 0.26397424936294556, -0.05156600847840309]","[0.885101318359375, 0.27203816175460815, -0.06871926039457321]","[0.8958937525749207, 0.29902565479278564, -0.07431375980377197]","[0.8785970211029053, 0.3593316078186035, -0.025149723514914513]","[0.9038074612617493, 0.29411259293556213, -0.054122135043144226]","[0.9187995791435242, 0.30550089478492737, -0.0634874776005745]","[0.9219528436660767, 0.33361661434173584, -0.06334227323532104]","[0.9084147214889526, 0.38714542984962463, -0.03036913089454174]","[0.9301304221153259, 0.34252285957336426, -0.0535438247025013]","[0.9372209310531616, 0.35043254494667053, -0.05935673788189888]","[0.9355989694595337, 0.37211957573890686, -0.0588693805038929]",0
"[0.8559961318969727, 0.537017822265625, 2.2512880093472631e-07]","[0.8153205513954163, 0.5046900510787964, -0.02705526351928711]","[0.7779372930526733, 0.44310519099235535, -0.040490277111530304]","[0.7602721452713013, 0.3875836133956909, -0.052168942987918854]","[0.7436621785163879, 0.3421366512775421, -0.06258532404899597]","[0.8085606694221497, 0.3435017168521881, -0.022409286350011826]","[0.8040143847465515, 0.2603657841682434, -0.041729651391506195]","[0.806078314781189, 0.20847004652023315, -0.05596354976296425]","[0.8094233870506287, 0.16692864894866943, -0.06594868749380112]","[0.8435476422309875, 0.34400346875190735, -0.022388026118278503]","[0.863134503364563, 0.2656388282775879, -0.05209873989224434]","[0.8850858211517334, 0.27334922552108765, -0.06884364038705826]","[0.8974526524543762, 0.298040509223938, -0.07426673918962479]","[0.8750097751617432, 0.3579917848110199, -0.025175021961331367]","[0.9009919762611389, 0.296924352645874, -0.05402659997344017]","[0.917955219745636, 0.30738377571105957, -0.06326012313365936]","[0.922930896282196, 0.33247628808021545, -0.06307526677846909]","[0.903942346572876, 0.38411322236061096, -0.029944369569420815]","[0.9264312982559204, 0.34158435463905334, -0.05241812765598297]","[0.9345784187316895, 0.34993821382522583, -0.0579315610229969]","[0.9338622689247131, 0.3703401982784271, -0.05738438293337822]",0
"[0.8547549247741699, 0.5396831035614014, 2.2242249997361796e-07]","[0.8150358200073242, 0.504298985004425, -0.027234621345996857]","[0.7809297442436218, 0.44235628843307495, -0.04122254624962807]","[0.7646490931510925, 0.3852020800113678, -0.05367381498217583]","[0.7490555047988892, 0.33927276730537415, -0.06482499092817307]","[0.8066696524620056, 0.34438544511795044, -0.020245345309376717]","[0.8018898963928223, 0.26235032081604004, -0.040531713515520096]","[0.8042476177215576, 0.20986595749855042, -0.055997468531131744]","[0.8076759576797485, 0.16824431717395782, -0.06687063723802567]","[0.8418458700180054, 0.3453763425350189, -0.02081662230193615]","[0.8594116568565369, 0.2667675316333771, -0.05239063873887062]","[0.8806639909744263, 0.2751961052417755, -0.0707024484872818]","[0.8925726413726807, 0.3011251986026764, -0.07662466168403625]","[0.8737050890922546, 0.3601027727127075, -0.02437843568623066]","[0.8971118927001953, 0.2991129159927368, -0.054911673069000244]","[0.9145841598510742, 0.30901235342025757, -0.0650123655796051]","[0.9202789068222046, 0.3341594636440277, -0.06480330228805542]","[0.902563750743866, 0.38665810227394104, -0.029940763488411903]","[0.9226357936859131, 0.34555500745773315, -0.05344743654131889]","[0.9318496584892273, 0.3529629409313202, -0.05934864655137062]","[0.9330814480781555, 0.37284690141677856, -0.058683883398771286]",0
"[0.8497122526168823, 0.5360620021820068, 2.3403723048431857e-07]","[0.816110372543335, 0.49310311675071716, -0.029690859839320183]","[0.789466381072998, 0.42897552251815796, -0.044232286512851715]","[0.7767398357391357, 0.3690040111541748, -0.05709110200405121]","[0.7684200406074524, 0.32333117723464966, -0.06865812093019485]","[0.8015837669372559, 0.3454931676387787, -0.02036651037633419]","[0.7975578904151917, 0.2619767487049103, -0.041322749108076096]","[0.7997509241104126, 0.20994795858860016, -0.05722733959555626]","[0.8032035827636719, 0.16819339990615845, -0.06852316856384277]","[0.8378279805183411, 0.3468931019306183, -0.01931189000606537]","[0.8574053645133972, 0.2672061622142792, -0.05436144024133682]","[0.8781032562255859, 0.2805466949939728, -0.07619095593690872]","[0.8872781991958618, 0.31044015288352966, -0.08366449177265167]","[0.8705087900161743, 0.35924744606018066, -0.021333497017621994]","[0.895928680896759, 0.3003540635108948, -0.05506036430597305]","[0.9099919199943542, 0.3120419383049011, -0.06958573311567307]","[0.9110280275344849, 0.3414779603481293, -0.07123114168643951]","[0.8988968133926392, 0.3798784911632538, -0.025283193215727806]","[0.9191845059394836, 0.340976357460022, -0.05002257600426674]","[0.9253202676773071, 0.3490985035896301, -0.05886808782815933]","[0.9230745434761047, 0.3720580041408539, -0.06014765426516533]",0
